SCIENTIFIC NAME	OBSERVATION COUNT	LATITUDE	LONGITUDE	OBSERVATION DATE
Turdus flavipes	1	-15.1953799	-39.0588427	1999-06-06
Turdus flavipes	1	-15.1700628	-39.5336151	1999-11-02
Turdus flavipes	1	-14.365025699999999	-40.2073342	2004-02-23
Turdus flavipes	1	-14.413223499999999	-40.1345426	2004-06-15
Turdus flavipes	1	-14.492222	-39.135833	2004-06-07
Turdus flavipes	1	-12.5315915	-41.4590386	2007-07-07
Turdus flavipes	1	-14.365025699999999	-40.2073342	2008-01-22
Turdus flavipes	1	-15.391956299999999	-39.5644283	2009-08-24
Turdus flavipes	1	-15.391956299999999	-39.5644283	2010-02-16
Turdus flavipes	1	-15.391956299999999	-39.5644283	2010-02-13
Turdus flavipes	1	-15.391956299999999	-39.5644283	2010-02-15
Turdus flavipes	1	-15.391956299999999	-39.5644283	2010-02-15
Turdus flavipes	1	-15.391956299999999	-39.5644283	2010-02-14
Turdus flavipes	1	-15.391956299999999	-39.5644283	2010-02-16
Turdus flavipes	1	-15.391956299999999	-39.5644283	2010-02-14
Turdus flavipes	1	-15.391956299999999	-39.5644283	2010-02-13
Turdus flavipes	1	-15.391956299999999	-39.5644283	2010-10-26
Turdus flavipes	2	-15.391956299999999	-39.5644283	2011-01-31
Turdus flavipes	2	-15.391956299999999	-39.5644283	2011-01-31
Turdus flavipes	2	-15.391956299999999	-39.5644283	2011-02-02
Turdus flavipes	2	-15.391956299999999	-39.5644283	2011-02-04
Turdus flavipes	4	-15.391956299999999	-39.5644283	2011-02-03
Turdus flavipes	2	-15.391956299999999	-39.5644283	2011-02-05
Turdus flavipes	1	-16.35918	-39.13742070000001	2011-04-08
Turdus flavipes	1	-15.391956299999999	-39.5644283	2011-04-30
Turdus flavipes	2	-15.391956299999999	-39.5644283	2011-10-09
Turdus flavipes	1	-15.391956299999999	-39.5644283	2012-04-14
Turdus flavipes	1	-14.4122679	-40.136407299999995	2012-09-30
Turdus flavipes	1	-14.4122679	-40.136407299999995	2012-09-30
Turdus flavipes	1	-15.391956299999999	-39.5644283	2013-04-14
Turdus flavipes	2	-14.413223499999999	-40.1345426	2013-11-10
Turdus flavipes	1	-15.3822525	-39.576824	2013-11-05
Turdus flavipes	1	-15.391956299999999	-39.5644283	2013-12-14
Turdus flavipes	3	-15.391956299999999	-39.5644283	2013-12-13
Turdus flavipes	1	-15.391956299999999	-39.5644283	2013-12-17
Turdus flavipes	1	-15.391956299999999	-39.5644283	2013-12-15
Turdus flavipes	2	-15.391956299999999	-39.5644283	2013-12-12
Turdus flavipes	1	-15.384039999999999	-39.57219	2014-01-11
